"ID","Utilizator","Data_Trimiterii","Emisii_Totale_tone_CO2","Emisii_de_CO2_Estimat","Emisii_de_CO2_Reziduu"
1,"ionut.petre","22/07/2025 06:08",5.5,25.1514,-20.1514
2,"ionut.petre","22/07/2025 06:32",6.2,27.4612,-12.4612
3,"ionut.petre","23/07/2025 08:30",4.2,20.8617,-5.8617
4,"ionut.giura","25/07/2025 06:13",2.5,15.2521,-15.2521
5,"ionut.giura","25/07/2025 07:13",0.5,8.6525,-8.6525
6,"Anonymous","28/07/2025 12:26",0.8,9.6425,-9.6425
7,"Anonymous","06/08/2025 09:11",3.1,17.2319,-17.2319
8,"Anonymous","11/08/2025 10:00",36.7,128.1041,-128.1041
9,"ionut.petre","05/09/2025 08:57",4.9,23.1715,-23.1715
10,"Anonymous","05/09/2025 09:13",7.9,33.0708,-13.0708
11,"Anonymous","05/09/2025 09:14",8,33.4008,-33.4008
12,"Anonymous","05/09/2025 09:29",6.5,28.4511,-28.4511
13,"Anonymous","05/09/2025 09:30",3.7,19.2118,-19.2118
14,"Anonymous","05/09/2025 09:46",6,26.8013,-21.8013
15,"Anonymous","05/09/2025 09:59",5.9,26.4713,-21.4713
16,"Anonymous","05/09/2025 09:59",5.3,24.4914,-19.4914
17,"Anonymous","05/09/2025 10:05",9.2,37.3605,12.6395
18,"ionut.giura","05/09/2025 10:07",2,13.6022,-8.6022
19,"Anonymous","05/09/2025 10:10",5.6,25.4814,-20.4814
20,"Anonymous","05/09/2025 10:16",1,10.3024,-10.3024
21,"Anonymous","05/09/2025 10:17",7.3,31.091,-11.091
22,"Anonymous","05/09/2025 10:43",10.3,40.9903,-35.9903
23,"Anonymous","05/09/2025 14:13",17.6,65.0786,164.9214
24,"Anonymous","07/09/2025 07:02",7,30.101,19.899
25,"Anonymous","08/09/2025 11:09",6.5,28.4511,371.5489
27,"Anonymous","09/09/2025 07:25",6.4,28.1212,1.8788
28,"Anonymous","09/09/2025 07:45",4,20.2017,-5.2017
29,"Anonymous","14/09/2025 10:51",5.4,24.8214,-24.8214
30,"Anonymous","18/09/2025 04:50",9,36.7006,-36.7006
31,"Anonymous","23/09/2025 14:11",8.3,34.3907,-34.3907
32,"Anonymous","25/09/2025 16:10",3.3,17.8919,-10.8919
33,"Anonymous","17/10/2025 08:40",7.6,32.0809,-32.0809
34,"Anonymous","14/11/2025 09:00",2.8,16.242,-16.242
35,"Anonymous","05/02/2026 13:50",1.9,13.2722,19.7278
36,"Anonymous","05/02/2026 14:00",2.3,14.5921,55.4079
37,"Anonymous","05/02/2026 14:22",4.1,20.5317,75.4683
38,"Anonymous","05/02/2026 14:22",5.7,25.8113,-25.8113
39,"Anonymous","05/02/2026 14:23",5.1,23.8315,-23.8315
40,"Anonymous","05/02/2026 14:25",7.5,31.7509,-31.7509
41,"Anonymous","05/02/2026 14:42",2.7,15.912,-10.912
42,"Anonymous","05/02/2026 14:51",1.9,13.2722,-8.2722
43,"Anonymous","05/02/2026 14:55",5.7,25.8113,-25.8113
44,"Anonymous","05/02/2026 14:57",12.2,47.2598,52.7402
45,"Anonymous","05/02/2026 15:00",2.7,15.912,-10.912
46,"Anonymous","05/02/2026 15:03",2.2,14.2621,-9.2621
47,"Anonymous","05/02/2026 15:09",2.8,16.242,-16.242
48,"Anonymous","05/02/2026 15:29",4.7,22.5116,37.4884
49,"Anonymous","05/02/2026 15:51",3.8,19.5418,-19.5418
50,"Anonymous","05/02/2026 15:56",3.8,19.5418,-19.5418
51,"Anonymous","05/02/2026 15:58",3.8,19.5418,-19.5418
52,"Anonymous","05/02/2026 16:03",3.8,19.5418,-19.5418
53,"Anonymous","05/02/2026 16:10",3.7,19.2118,-19.2118
54,"Anonymous","05/02/2026 16:12",3.9,19.8717,-19.8717
55,"Anonymous","05/02/2026 16:25",3.9,19.8717,-19.8717
56,"Anonymous","05/02/2026 16:30",2.7,15.912,-10.912
57,"Anonymous","05/02/2026 16:34",2.8,16.242,-11.242
58,"Anonymous","05/02/2026 18:45",6.7,29.1111,-24.1111
59,"Anonymous","05/02/2026 18:51",2.4,14.9221,-9.9221
60,"Anonymous","05/02/2026 18:57",4.9,23.1715,-23.1715
61,"Anonymous","05/02/2026 19:09",4.4,21.5216,-21.5216
62,"Anonymous","06/02/2026 06:25",3,16.902,-11.902
63,"Anonymous","06/02/2026 06:27",3.6,18.8818,181.1182
64,"Anonymous","06/02/2026 06:31",2.7,15.912,-10.912
65,"Anonymous","06/02/2026 06:31",2.7,15.912,84.088
66,"Anonymous","06/02/2026 06:37",2.4,14.9221,-9.9221
67,"Anonymous","06/02/2026 06:41",2.6,15.582,84.418
68,"Anonymous","06/02/2026 06:42",3.5,18.5518,-13.5518
69,"Anonymous","06/02/2026 07:01",2.2,14.2621,-9.2621
70,"Anonymous","06/02/2026 07:15",2.4,14.9221,-9.9221
71,"Anonymous","09/02/2026 10:29",5.5,25.1514,-25.1514
72,"Anonymous","10/02/2026 17:34",5,23.5015,-23.5015
73,"Anonymous","10/02/2026 17:37",6.2,27.4612,-27.4612
74,"Anonymous","10/02/2026 17:45",3.4,18.2219,-18.2219
75,"Anonymous","10/02/2026 17:55",6,26.8013,-18.8013
76,"Anonymous","10/02/2026 18:09",3.6,18.8818,11.1182
77,"Anonymous","10/02/2026 18:10",4.5,21.8516,-1.8516
78,"Anonymous","10/02/2026 18:14",4.2,20.8617,-0.8617
79,"Anonymous","10/02/2026 19:27",4.7,22.5116,177.4884
80,"Anonymous","10/02/2026 21:03",5.4,24.8214,75.1786
81,"Anonymous","11/02/2026 03:46",3.5,18.5518,6.4482
82,"Anonymous","17/02/2026 13:38",13.7,52.2095,-52.2095
83,"Anonymous","10/03/2026 16:34",3,16.902,23.098
84,"Anonymous","13/03/2026 08:34",5.2,24.1614,-24.1614
85,"Anonymous","15/03/2026 23:23",5.6,25.4814,-25.4814
86,"Anonymous","16/03/2026 11:07",1.2,10.9624,-0.9624
87,"Anonymous","16/03/2026 11:22",6.8,29.4411,-29.4411
88,"Anonymous","17/03/2026 07:44",6.5,28.4511,-28.4511
89,"Anonymous","17/03/2026 07:54",6.3,27.7912,2.2088
90,"Anonymous","17/03/2026 08:03",5,23.5015,-23.5015
91,"Anonymous","17/03/2026 08:40",5.4,24.8214,-24.8214
92,"Anonymous","17/03/2026 09:28",5.8,26.1413,-11.1413
93,"Anonymous","17/03/2026 09:31",2.7,15.912,-15.912
94,"Anonymous","17/03/2026 09:43",3.5,18.5518,-18.5518
95,"Anonymous","17/03/2026 11:58",7.6,32.0809,-32.0809
96,"Anonymous","17/03/2026 13:15",10.7,42.3102,57.6898
97,"Anonymous","17/03/2026 13:22",6.9,29.7711,20.2289
98,"Anonymous","17/03/2026 15:00",5,23.5015,-23.5015
99,"Anonymous","17/03/2026 17:49",5.9,26.4713,-1.4713
100,"Anonymous","18/03/2026 08:00",8.4,34.7207,-34.7207
101,"Anonymous","21/03/2026 14:44",2.4,14.9221,25.0779
102,"Anonymous","21/03/2026 14:45",4.1,20.5317,-20.5317
103,"Anonymous","21/03/2026 14:55",8.9,36.3706,-36.3706
104,"Anonymous","21/03/2026 15:44",4.2,20.8617,79.1383
105,"Anonymous","21/03/2026 17:28",42.8,148.2327,51.7673
106,"Anonymous","21/03/2026 17:31",7.3,31.091,-31.091
107,"Anonymous","22/03/2026 10:15",10.2,40.6603,209.3397
108,"Anonymous","22/03/2026 10:30",16.4,61.1188,-61.1188
109,"Anonymous","22/03/2026 10:46",12.2,47.2598,2.7402
110,"Anonymous","22/03/2026 18:45",3.8,19.5418,-19.5418
111,"Anonymous","22/03/2026 21:40",5.9,26.4713,-6.4713
112,"Anonymous","23/03/2026 08:33",5.7,25.8113,-25.8113
113,"Anonymous","23/03/2026 10:43",19.4,71.0182,-61.0182
114,"Anonymous","23/03/2026 11:21",42,145.5929,54.4071
115,"Anonymous","23/03/2026 11:23",0.4,8.3226,-3.3226
116,"Anonymous","23/03/2026 12:35",16.9,62.7687,37.2313
117,"Anonymous","23/03/2026 14:56",3.6,18.8818,21.1182
118,"Anonymous","23/03/2026 15:22",3.7,19.2118,50.7882
119,"Anonymous","23/03/2026 15:36",3.6,18.8818,6.1182
120,"Anonymous","23/03/2026 19:27",2.7,15.912,-15.912
121,"Anonymous","23/03/2026 19:39",2.8,16.242,3.758
122,"Anonymous","23/03/2026 19:53",5.1,23.8315,-23.8315
123,"Anonymous","23/03/2026 20:02",6.4,28.1212,-28.1212
124,"Anonymous","24/03/2026 08:45",13.5,51.5495,-51.5495
125,"Anonymous","24/03/2026 08:57",0.9,9.9724,-4.9724
126,"Anonymous","24/03/2026 09:00",4.7,22.5116,-22.5116
127,"Anonymous","24/03/2026 09:39",4.6,22.1816,-22.1816
128,"Anonymous","24/03/2026 09:48",3.4,18.2219,1.7781
129,"Anonymous","24/03/2026 10:08",4.4,21.5216,18.4784
130,"Anonymous","24/03/2026 11:04",2.7,15.912,-5.912
